player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp,vorp,vorp_rank,adp_rank,value_gap
3163,Jared Goff,QB,DET,132.8,283.46,18.0,,,,29.0,53.0,1.0,4104.0,30.0,,10.0,-3.2200000000000273,102,124,22
4037,Chris Godwin,WR,TB,95.3,173.6,18.0,68.0,750.0,5.0,1.0,6.0,,,,,9.0,-3.700000000000017,103,93,-10
5844,T.J. Hockenson,TE,MIN,164.6,155.0,18.0,66.0,650.0,4.0,,,,,,,7.0,-4.800000000000011,104,145,41
9500,Josh Downs,WR,IND,107.0,172.3,18.0,70.0,770.0,4.0,2.0,13.0,,,,,3.0,-5.0,105,103,-2
9756,Jordan Addison,WR,MIN,104.3,171.7,18.0,60.0,795.0,5.0,4.0,22.0,,,,,3.0,-5.600000000000023,106,101,-5
7594,Chuba Hubbard,RB,CAR,76.6,147.9,18.0,22.0,153.0,1.0,181.0,766.0,5.0,,,Questionable,5.0,-5.799999999999983,107,77,-30
3214,Hunter Henry,TE,NE,135.1,153.5,18.0,58.0,655.0,5.0,,,,,,,10.0,-6.300000000000011,108,125,17
6819,Michael Pittman,WR,PIT,102.7,170.9,18.0,69.0,772.0,4.0,1.0,7.0,,,,Questionable,6.0,-6.400000000000006,109,99,-10
421,Matthew Stafford,QB,LAR,96.1,280.22,18.0,,,,27.0,19.0,,4033.0,32.0,,17.0,-6.4599999999999795,110,94,-16
8134,Khalil Shakir,WR,BUF,139.6,170.7,18.0,71.0,747.0,4.0,2.0,10.0,,,,Questionable,4.0,-6.600000000000023,111,128,17
8126,Wan'Dale Robinson,WR,TEN,116.8,170.7,18.0,71.0,741.0,4.0,3.0,16.0,,,,,4.0,-6.600000000000023,112,112,0
12501,Matthew Golden,WR,GB,128.8,170.1,18.0,58.0,770.0,5.0,8.0,51.0,,,,,1.0,-7.200000000000017,113,120,7
5947,Jakobi Meyers,WR,JAX,110.8,169.3,18.0,64.0,732.0,5.0,4.0,21.0,,,,Questionable,7.0,-8.0,114,106,-8
6804,Jordan Love,QB,GB,148.2,278.52,18.0,,,,51.0,202.0,2.0,3808.0,27.0,,6.0,-8.160000000000025,115,135,20
13294,Makai Lemon,WR,PHI,87.5,168.5,18.0,60.0,775.0,5.0,2.0,10.0,,,,,0.0,-8.800000000000011,116,87,-29
5001,Dalton Schultz,TE,HOU,193.9,150.9,18.0,64.0,629.0,4.0,,,,,,,8.0,-8.900000000000006,117,167,50
12489,RJ Harvey,RB,DEN,79.7,144.1,18.0,37.0,276.0,2.0,124.0,515.0,3.0,,,,1.0,-9.599999999999994,118,79,-39
10232,Michael Wilson,WR,ARI,83.1,166.0,18.0,59.0,764.0,5.0,1.0,6.0,,,,,3.0,-11.300000000000011,119,83,-36
