player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp
4199,Aaron Jones,RB,MIN,121.3,137.1,18.0,34.0,248.0,1.0,131.0,563.0,3.0,,,,9.0
DEN,Denver Broncos,DST,DEN,122.6,96.0,1.0,,,,,,,,,,
11583,Jonathon Brooks,RB,CAR,123.8,154.9,18.0,34.0,245.0,1.0,160.0,684.0,4.0,,,,2.0
5022,Dallas Goedert,TE,PHI,124.7,136.0,18.0,53.0,590.0,4.0,,,,,,,8.0
PHI,Philadelphia Eagles,DST,PHI,125.0,98.0,1.0,,,,,,,,,,
2747,Jason Myers,K,SEA,126.8,111.0,18.0,,,,,,,,,,11.0
8121,Romeo Doubs,WR,NE,127.1,161.2,18.0,57.0,742.0,5.0,,,,,,,4.0
8136,Rachaad White,RB,WAS,127.8,128.1,18.0,34.0,253.0,1.0,114.0,468.0,3.0,,,,4.0
13298,KC Concepcion,WR,CLE,129.3,156.4,18.0,58.0,710.0,4.0,9.0,54.0,,,,,0.0
5012,Mark Andrews,TE,BAL,130.4,162.5,18.0,60.0,653.0,6.0,6.0,12.0,,,,,8.0
12501,Matthew Golden,WR,GB,131.9,170.1,18.0,58.0,770.0,5.0,8.0,51.0,,,,,1.0
3214,Hunter Henry,TE,NE,132.2,153.5,18.0,58.0,655.0,5.0,,,,,,,10.0
3163,Jared Goff,QB,DET,133.3,283.46,18.0,,,,29.0,53.0,1.0,4104.0,30.0,,10.0
3451,Ka'imi Fairbairn,K,HOU,134.1,113.0,18.0,,,,,,,,,,10.0
11786,Cam Little,K,JAX,135.1,112.0,18.0,,,,,,,,,,2.0
BAL,Baltimore Ravens,DST,BAL,135.5,95.0,1.0,,,,,,,,,,
5872,Deebo Samuel,WR,SF,137.2,155.7,18.0,56.0,628.0,4.0,17.0,89.0,1.0,,,,7.0
8134,Khalil Shakir,WR,BUF,138.3,170.7,18.0,71.0,747.0,4.0,2.0,10.0,,,,,4.0
11624,Xavier Worthy,WR,KC,139.4,161.5,18.0,55.0,695.0,4.0,17.0,90.0,1.0,,,Questionable,2.0
12484,Jayden Higgins,WR,HOU,140.2,165.4,18.0,57.0,778.0,5.0,1.0,6.0,,,,,1.0
9753,Zach Charbonnet,RB,SEA,141.1,67.2,18.0,11.0,78.0,1.0,65.0,264.0,3.0,,,PUP,3.0
4892,Baker Mayfield,QB,TB,142.8,274.88,18.0,,,,63.0,306.0,2.0,3682.0,26.0,,8.0
