player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp
9504,Kayshon Boutte,WR,NE,219.5,94.6,18.0,31.0,456.0,3.0,,,,,,,3.0
4195,Jake Elliott,K,PHI,220.9,90.0,18.0,,,,,,,,,,9.0
BUF,Buffalo Bills,DST,BUF,221.9,84.0,1.0,,,,,,,,,,
12547,Kyle Williams,WR,NE,222.1,31.2,18.0,10.0,148.0,1.0,1.0,4.0,,,,,1.0
SF,San Francisco 49ers,DST,SF,222.8,84.0,1.0,,,,,,,,,,
11581,MarShawn Lloyd,RB,GB,223.2,51.8,18.0,7.0,47.0,,68.0,281.0,2.0,,,,2.0
CHI,Chicago Bears,DST,CHI,223.5,85.0,1.0,,,,,,,,,,
11565,J.J. McCarthy,QB,MIN,224.2,19.62,18.0,,,,5.0,21.0,1.0,213.0,1.0,,2.0
12498,Mason Taylor,TE,NYJ,224.3,96.4,18.0,40.0,384.0,3.0,,,,,,,1.0
9757,Kendre Miller,RB,NO,224.8,5.6,18.0,2.0,16.0,,5.0,20.0,,,,Questionable,3.0
6650,Chase McLaughlin,K,TB,225.2,105.0,18.0,,,,,,,,,,7.0
12455,Brashard Smith,RB,KC,226.3,19.9,18.0,4.0,32.0,,16.0,67.0,1.0,,,,1.0
4039,Cooper Kupp,WR,SEA,226.7,86.4,18.0,32.0,364.0,3.0,,,,,,,9.0
